'Okay\n' => 2
'what\n' => 2
'made\n' => 2
'you\n' => 2
'go\n' => 2
'to\n' => 2
'speed\n' => 2
'up\n' => 2
'speed up\n' => 2
'to speed up\n' => 2
'go to speed up\n' => 2
'you go to speed up\n' => 2
'made you go to speed up\n' => 2
'what made you go to speed up\n' => 2
'\\\\\\\\\n' => 2
'\\\\\\\\\n' => 2
'being\n' => 2
'on\n' => 2
'a\n' => 2
'bridge\n' => 2
'a bridge\n' => 2
'and\n' => 2
'everyone\n' => 2
's\n' => 2
'everyone s\n' => 2
'speeding\n' => 2
'up\n' => 2
'speeding up\n' => 2
'a bridge and everyone s speeding up\n' => 2
'on a bridge and everyone s speeding up\n' => 2
'being on a bridge and everyone s speeding up\n' => 2
'I\n' => 2
'mean\n' => 2
'\n' => 2
'we\n' => 2
're\n' => 2
'starting\n' => 2
'to\n' => 2
'move\n' => 2
'on\n' => 2
'like\n' => 2
'this\n' => 2
'is\n' => 2
'a\n' => 2
'faster\n' => 2
'road\n' => 2
'a faster road\n' => 2
'is a faster road\n' => 2
'this is a faster road\n' => 2
'like this is a faster road\n' => 2
'so\n' => 2
'like this is a faster road so\n' => 2
'on like this is a faster road so\n' => 2
'move on like this is a faster road so\n' => 2
'starting to move on like this is a faster road so\n' => 2
're starting to move on like this is a faster road so\n' => 2
'we re starting to move on like this is a faster road so\n' => 2
'mean we re starting to move on like this is a faster road so\n' => 2
'I mean we re starting to move on like this is a faster road so\n' => 2
'\\\\\\\\\n' => 2
'\\\\\\\\\n' => 2
'okay\n' => 2
'\\\\\\\\\n' => 2
'\\\\\\\\\n' => 2
'yeah\n' => 2
'we\n' => 2
'should\n' => 2
'be\n' => 2
'about\n' => 2
'should be about\n' => 2
'we should be about\n' => 2
'yeah we should be about\n' => 2
'this\n' => 2
'is\n' => 2
'a\n' => 2
'totally\n' => 2
'new\n' => 2
'totally new\n' => 2
'thing\n' => 2
'a totally new thing\n' => 2
'is a totally new thing\n' => 2
'this is a totally new thing\n' => 2
'that\n' => 2
'I\n' => 2
